,train_loss
0,1.8015990458104922
1,1.3473467515862507
2,1.1870382816895195
3,1.0495194070365117
4,0.9160590356458789
5,0.797062602703986
6,0.6965258549089017
7,0.6212342504573904
8,0.5694265644187513
9,0.5319943084664966
10,0.507633100061313
11,0.488219101305889
12,0.47465372117965116
13,0.4629053308264069
14,0.4547338395015053
15,0.44732486683389416
16,0.4412855280806189
17,0.4362971688742223
18,0.43188413054398866
19,0.42877479448266653
20,0.42496348415379936
21,0.42306221017371054
22,0.4198643283351608
23,0.41777816690180614
24,0.41544049233198166
25,0.41449919926083606
26,0.412221511097058
27,0.4108662901689177
28,0.4089880085185818
29,0.4081721182750619
30,0.40648861504767253
31,0.4051007434077885
32,0.40433786453112314
33,0.4036267560137355
34,0.40248204670522525
35,0.4015602403036926
36,0.4006662072370882
37,0.3997006074565908
38,0.39949438720941544
39,0.3985153007442537
40,0.39815599455133727
41,0.39755801403004193
42,0.39692436822730565
43,0.39690763438525406
44,0.3953924132106097
45,0.39528325054308644
46,0.39430839438801224
47,0.3941204555980537
48,0.39366036799290904
49,0.39290133782702946
