,train_loss
0,2.23037398379782
1,1.4627349920894788
2,1.2533843918986942
3,1.0833229474399402
4,0.9089630129544631
5,0.741234037215295
6,0.6066853702068329
7,0.5189745659413545
8,0.4694214236477147
9,0.43981596973279247
10,0.4213226576862128
11,0.4079194370171298
12,0.39846788039026054
13,0.3916829241358716
14,0.3858350779375304
15,0.38073337806955626
16,0.3760774708960367
17,0.3726725471408471
18,0.36925213783979416
19,0.3665105444581612
20,0.3644188041596309
21,0.36181503615301586
22,0.3602651535816815
23,0.35847534530836606
24,0.3566964048406352
25,0.35534674074986705
26,0.35391085206166556
27,0.3523711805110392
28,0.3512938285003538
29,0.3499485809841882
30,0.348878336665423
31,0.3480728317214095
32,0.34709150408921036
33,0.34610296380908595
34,0.3453061865723651
35,0.3440844343732233
36,0.343493720597547
37,0.34281771856805554
38,0.34207185681747354
39,0.3415462557712327
40,0.3410238354750302
41,0.3402688538898592
42,0.3395598308871622
43,0.3391913130231526
44,0.3385159923978474
45,0.3380188221192878
46,0.3373857973062474
47,0.3370699113153893
48,0.3366183291958726
49,0.3361662030220032
